2024-03-22 11:24:21,Front:23289mm, Back:2803mm, Up:694mm, Left:1787mm, Right:624mm
2024-03-22 11:24:23,Front:23286mm, Back:2801mm, Up:696mm, Left:1788mm, Right:625mm
2024-03-22 11:24:23,Front:23285mm, Back:2798mm, Up:694mm, Left:1787mm, Right:626mm
2024-03-22 11:24:24,Front:23285mm, Back:2798mm, Up:694mm, Left:1787mm, Right:626mm
2024-03-22 11:24:24,Front:23288mm, Back:2807mm, Up:695mm, Left:1788mm, Right:622mm
2024-03-22 11:24:24,Front:23289mm, Back:2805mm, Up:696mm, Left:1790mm, Right:625mm
2024-03-22 11:24:25,Front:23289mm, Back:2806mm, Up:696mm, Left:1791mm, Right:624mm
2024-03-22 11:24:26,Front:23287mm, Back:2900mm, Up:695mm, Left:1803mm, Right:609mm
2024-03-22 11:24:26,Front:22853mm, Back:3933mm, Up:694mm, Left:1802mm, Right:615mm
2024-03-22 11:24:27,Front:20890mm, Back:8612mm, Up:694mm, Left:1797mm, Right:620mm
2024-03-22 11:24:27,Front:16684mm, Back:8612mm, Up:693mm, Left:1785mm, Right:625mm
2024-03-22 11:24:29,Front:15219mm, Back:13425mm, Up:693mm, Left:1738mm, Right:661mm
2024-03-22 11:24:29,Front:13765mm, Back:13755mm, Up:693mm, Left:1737mm, Right:552mm
2024-03-22 11:24:30,Front:13105mm, Back:13755mm, Up:695mm, Left:1744mm, Right:436mm
2024-03-22 11:24:30,Front:0mm, Back:13888mm, Up:698mm, Left:1751mm, Right:434mm
2024-03-22 11:24:31,Front:0mm, Back:13855mm, Up:700mm, Left:1754mm, Right:423mm
2024-03-22 11:24:31,Front:0mm, Back:13855mm, Up:700mm, Left:1754mm, Right:423mm
2024-03-22 11:24:32,Front:0mm, Back:13855mm, Up:700mm, Left:1758mm, Right:294mm
2024-03-22 11:24:32,Front:0mm, Back:13797mm, Up:700mm, Left:1710mm, Right:244mm
2024-03-22 11:24:33,Front:0mm, Back:13797mm, Up:697mm, Left:1680mm, Right:254mm
2024-03-22 11:24:33,Front:0mm, Back:13795mm, Up:701mm, Left:1674mm, Right:259mm
2024-03-22 11:24:34,Front:0mm, Back:0mm, Up:10527mm, Left:1666mm, Right:0mm
2024-03-22 11:24:35,Front:0mm, Back:0mm, Up:11096mm, Left:1752mm, Right:414mm
2024-03-22 11:24:35,Front:0mm, Back:0mm, Up:11096mm, Left:1752mm, Right:414mm
2024-03-22 11:24:36,Front:0mm, Back:0mm, Up:566mm, Left:1754mm, Right:413mm
2024-03-22 11:24:36,Front:0mm, Back:0mm, Up:688mm, Left:1781mm, Right:381mm
2024-03-22 11:24:37,Front:0mm, Back:0mm, Up:688mm, Left:1776mm, Right:390mm
2024-03-22 11:24:38,Front:0mm, Back:8158mm, Up:688mm, Left:1767mm, Right:391mm
2024-03-22 11:24:38,Front:0mm, Back:8158mm, Up:692mm, Left:1763mm, Right:397mm
2024-03-22 11:24:39,Front:0mm, Back:8184mm, Up:696mm, Left:0mm, Right:411mm
2024-03-22 11:24:40,Front:0mm, Back:8246mm, Up:701mm, Left:0mm, Right:390mm
2024-03-22 11:24:40,Front:0mm, Back:8323mm, Up:710mm, Left:9986mm, Right:385mm
2024-03-22 11:24:41,Front:15749mm, Back:8323mm, Up:715mm, Left:2419mm, Right:385mm
