2024-03-22 11:27:48: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:27:49: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:27:49: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:27:50: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:27:51: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:27:52: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:27:52: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:27:53: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:27:53: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:27:54: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:27:55: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:27:56: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:27:56: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:27:57: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:27:57: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:27:58: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:27:58: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:27:59: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:28:00: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:28:01: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:28:01: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:28:01: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:28:02: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:28:02: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:28:03: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:28:04: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:28:04: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:28:05: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:28:05: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:28:06: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
2024-03-22 11:28:06: STS=0, altitude=0.000000, latitude=0.000000, longitude=0.000000, sensitivity=0.000000
