time,front,back,up,left,right
0.0,23241.0,2834.0,694.0,1783.0,626.0
0.0,23240.0,2834.0,693.0,1783.0,626.0
1.0,23240.0,2835.0,693.0,1783.0,621.0
2.0,23143.0,2850.0,693.0,1802.0,607.0
3.0,17388.0,2932.0,693.0,1793.0,624.0
3.0,17388.0,2932.0,693.0,1793.0,624.0
4.0,12302.0,3234.0,693.0,1765.0,628.0
4.0,12302.0,3234.0,693.0,1765.0,628.0
5.0,10975.0,5776.0,694.0,1738.0,448.0
6.0,12467.0,6361.0,693.0,1748.0,436.0
7.0,12467.0,6361.0,693.0,1748.0,436.0
7.0,20588.0,5816.0,697.0,1790.0,391.0
8.0,20588.0,5816.0,696.0,1782.0,334.0
8.0,19970.0,5186.0,697.0,1666.0,251.0
9.0,19970.0,5186.0,697.0,1666.0,251.0
9.0,19970.0,4630.0,697.0,1671.0,243.0
10.0,17610.0,4002.0,696.0,1685.0,243.0
11.0,14260.0,4002.0,697.0,1681.0,246.0
12.0,10638.0,4002.0,699.0,1652.0,256.0
12.0,10638.0,3912.0,700.0,1661.0,262.0
12.0,10638.0,3912.0,700.0,1661.0,262.0
13.0,7671.0,3908.0,661.0,5508.0,321.0
13.0,7671.0,4003.0,656.0,8287.0,1483.0
14.0,6152.0,4234.0,687.0,12589.0,7842.0
15.0,8270.0,4234.0,690.0,12441.0,1202.0
15.0,8270.0,4456.0,689.0,12432.0,405.0
16.0,8270.0,4745.0,689.0,12428.0,403.0
16.0,11046.0,5386.0,691.0,12426.0,403.0
17.0,11046.0,5386.0,692.0,12425.0,394.0
17.0,16591.0,5680.0,691.0,3590.0,395.0
18.0,16591.0,5680.0,690.0,1782.0,398.0
19.0,18460.0,5938.0,689.0,1772.0,395.0
19.0,18460.0,5938.0,690.0,1782.0,393.0
20.0,19580.0,6548.0,689.0,1805.0,384.0
21.0,20085.0,6548.0,693.0,1806.0,381.0
21.0,20085.0,0.0,695.0,1808.0,367.0
22.0,19141.0,0.0,697.0,1809.0,360.0
22.0,19141.0,0.0,697.0,1809.0,360.0
23.0,18766.0,0.0,701.0,1810.0,358.0
23.0,18766.0,0.0,701.0,1810.0,358.0
24.0,17196.0,0.0,706.0,6226.0,353.0
25.0,17196.0,0.0,706.0,6226.0,353.0
25.0,13804.0,0.0,715.0,8349.0,356.0
26.0,13804.0,0.0,714.0,4303.0,361.0
27.0,8247.0,0.0,704.0,1780.0,361.0
27.0,8247.0,0.0,704.0,1780.0,361.0
28.0,6037.0,0.0,703.0,1769.0,359.0
28.0,6037.0,0.0,703.0,1769.0,359.0
29.0,6061.0,0.0,700.0,1780.0,359.0
30.0,6061.0,0.0,701.0,1786.0,435.0
30.0,6061.0,0.0,701.0,1786.0,435.0
31.0,6217.0,0.0,701.0,1793.0,1527.0
31.0,5947.0,0.0,701.0,1791.0,762.0
32.0,5947.0,0.0,704.0,1786.0,401.0
32.0,4776.0,0.0,707.0,1783.0,398.0
33.0,4342.0,0.0,708.0,1785.0,398.0
33.0,4342.0,0.0,708.0,1787.0,397.0
34.0,3709.0,0.0,710.0,1793.0,396.0
35.0,3709.0,0.0,705.0,1796.0,389.0
35.0,3328.0,0.0,703.0,1795.0,390.0
36.0,3328.0,0.0,703.0,1795.0,390.0
37.0,2756.0,0.0,703.0,1798.0,387.0
37.0,2756.0,0.0,703.0,1798.0,387.0
38.0,2597.0,0.0,704.0,1778.0,410.0
38.0,2597.0,0.0,704.0,1778.0,410.0
39.0,2597.0,0.0,704.0,1765.0,420.0
39.0,2374.0,0.0,707.0,1761.0,422.0
40.0,2374.0,0.0,706.0,1750.0,429.0
40.0,2317.0,0.0,703.0,1745.0,433.0
41.0,2280.0,0.0,705.0,1725.0,443.0
41.0,2291.0,0.0,704.0,1720.0,453.0
42.0,2291.0,0.0,705.0,1720.0,451.0
43.0,2291.0,14448.0,704.0,1720.0,439.0
